songID,songName,songYearReleased,songGenre,songLength
S96671,Beatnik Beach,1990,Rock,02:50
S96744,Tiger Tiger,1983,Rock,03:20
S96893,Lovers in the Night,1982,Rock,04:25
S96930,My Heart Is Broken,2011,Rock,04:29
S97073,Taco Grande,1992,Comedy,03:44
S97148,Fire Island,1994,Pop,05:16
S97364,Tel Aviv,1981,Rock,05:20
S97837,Workin' for a Livin',1996,Rock,02:39
S98383,Happy Birthday,1983,Comedy,02:28
S98388,Weight of the World,2006,Rock,03:37
S98427,Down Under,1981,Rock,03:45
S98475,Going Under,2003,Rock,03:35
S98552,Swampjuice (Soul-O),1990,Rock,01:25
S98657,Yoda,1985,Comedy,03:58
S98858,Rock the Night,1986,Rock,04:03
S98901,Smells Like Nirvana,1992,Comedy,03:42
S98980,eBay,2003,Comedy,03:36
S99298,Lasagna,1988,Comedy,02:46
S99978,Til the Day After,1996,Rock,03:27
